163,2.36712,0.20959,0.08369,9.44,0,406,163,Erigone
933,2.36867,0.20663,0.08659,12.38,0.26,406,163,Erigone
1448,2.37267,0.21412,0.09362,12.73,0.79,406,163,Erigone
2348,2.39781,0.19938,0.08818,12.72,4.39,406,163,Erigone
2776,2.3678,0.21356,0.08887,12.7,0.1,406,163,Erigone
3562,2.33876,0.19661,0.08601,13.09,-3.41,406,163,Erigone
4229,2.37353,0.21094,0.08798,13.42,0.67,406,163,Erigone
4279,2.36446,0.20601,0.08812,14.19,-0.19,406,163,Erigone
4812,2.36776,0.21093,0.0847,14.32,0.05,406,163,Erigone
5026,2.37752,0.20807,0.08672,13.72,0.94,406,163,Erigone
5506,2.37583,0.2098,0.08584,13.4,0.91,406,163,Erigone
7015,2.32489,0.2155,0.08731,13.86,-3.57,406,163,Erigone
8089,2.35413,0.21619,0.09393,14.85,-0.69,406,163,Erigone
8152,2.35867,0.20664,0.07983,14.15,-0.62,406,163,Erigone
8233,2.37877,0.21734,0.09242,13.79,1.02,406,163,Erigone
8398,2.32457,0.20407,0.08785,14.89,-2.24,406,163,Erigone
8487,2.36561,0.21428,0.09122,13.6,-0.14,406,163,Erigone
8612,2.35681,0.20737,0.08886,14.84,-0.55,406,163,Erigone
9074,2.37076,0.2118,0.08476,13.83,0.31,406,163,Erigone
9152,2.36429,0.20641,0.08372,15.2,-0.13,406,163,Erigone
9355,2.36238,0.20322,0.08692,14.62,-0.28,406,163,Erigone
9502,2.33597,0.19714,0.08703,14.83,-1.68,406,163,Erigone
9566,2.36039,0.2075,0.0822,13.82,-0.58,406,163,Erigone
9619,2.38012,0.21013,0.09046,14.45,0.84,406,163,Erigone
9879,2.38238,0.20582,0.08447,14.88,0.81,406,163,Erigone
10082,2.35946,0.20164,0.08599,14.69,-0.44,406,163,Erigone
10527,2.36439,0.21063,0.09071,14.08,-0.21,406,163,Erigone
10584,2.39016,0.20366,0.07931,15.36,0.98,406,163,Erigone
10992,2.36252,0.2049,0.08754,14.92,-0.24,406,163,Erigone
12642,2.35863,0.20979,0.08703,14.33,-0.58,406,163,Erigone
12650,2.3609,0.20964,0.08492,14.69,-0.36,406,163,Erigone
13491,2.34453,0.20872,0.09551,14.41,-1.48,406,163,Erigone
13737,2.3644,0.21613,0.09572,13.9,-0.22,406,163,Erigone
13928,2.33227,0.19719,0.08904,14.38,-2.32,406,163,Erigone
14000,2.36671,0.20858,0.08985,13.81,-0.03,406,163,Erigone
14340,2.35931,0.20337,0.08743,14.45,-0.5,406,163,Erigone
14355,2.37762,0.20781,0.08946,14.54,0.65,406,163,Erigone
