623	2.46034	0.14432	0.25467	10.68	0	414	623	Chimaera
2642	2.426	0.14711	0.25032	12.47	-3.67	414	623	Chimaera
15824	2.44399	0.15366	0.26244	14.34	-0.74	414	623	Chimaera
24048	2.44174	0.14531	0.244	14.15	-0.92	414	623	Chimaera
32126	2.40957	0.13836	0.25166	13.4	-3.53	414	623	Chimaera
42431	2.43761	0.1473	0.2525	14.83	-0.82	414	623	Chimaera
44227	2.47262	0.15036	0.25304	13.99	0.65	414	623	Chimaera
45892	2.4728	0.144	0.25712	14.13	0.62	414	623	Chimaera
59436	2.46842	0.14404	0.25744	14.66	0.32	414	623	Chimaera
61309	2.44001	0.14508	0.25133	14.33	-0.92	414	623	Chimaera
70197	2.42938	0.14367	0.25984	15.58	-0.79	414	623	Chimaera
71966	2.4454	0.14055	0.25257	14.43	-0.65	414	623	Chimaera
76905	2.43693	0.15757	0.25954	14.49	-0.99	414	623	Chimaera
77113	2.44304	0.14271	0.259	14.22	-0.82	414	623	Chimaera
84229	2.4212	0.1475	0.26106	15.13	-1.23	414	623	Chimaera
85626	2.4332	0.14682	0.25857	14.74	-1.02	414	623	Chimaera
91388	2.48139	0.15198	0.25212	15.25	0.63	414	623	Chimaera
96918	2.47416	0.15079	0.25341	14.97	0.47	414	623	Chimaera
98246	2.42539	0.14247	0.26116	15.37	-0.98	414	623	Chimaera
107032	2.47322	0.14649	0.2523	15.47	0.35	414	623	Chimaera
107650	2.41847	0.15356	0.25376	15.45	-1.13	414	623	Chimaera
108656	2.44768	0.13875	0.25646	15.62	-0.32	414	623	Chimaera
112308	2.48478	0.15183	0.25366	15.2	0.74	414	623	Chimaera
113670	2.44203	0.15376	0.2577	15.6	-0.46	414	623	Chimaera
117745	2.43104	0.14732	0.26252	15.15	-0.91	414	623	Chimaera
118670	2.44582	0.14515	0.24558	15.23	-0.43	414	623	Chimaera
120241	2.4364	0.16006	0.26017	15.93	-0.52	414	623	Chimaera
122596	2.42659	0.14871	0.25069	14.35	-1.52	414	623	Chimaera
